Domestic Passenger - Departures Performed (Flights)  (January 2002 - December 2017)
Unit: (000)

Period,Total
"October 2002","824984"
"November 2002","775709"
"December 2002","789620"
"January 2003","793293"
"February 2003","698464"
"March 2003","806128"
"April 2003","774640"
"May 2003","799861"
"June 2003","812510"
"July 2003","847914"
"August 2003","849077"
"September 2003","795755"
"October 2003","829580"
"November 2003","776009"
"December 2003","806701"
"January 2004","795360"
"February 2004","769947"
"March 2004","844241"
"April 2004","828140"
"May 2004","844989"
"June 2004","851512"
"July 2004","888249"
"August 2004","901772"
"September 2004","833464"
"October 2004","872598"
"November 2004","828575"
"December 2004","843323"
"January 2005","815089"
"February 2005","768557"
"March 2005","876180"
"April 2005","848404"
"May 2005","883909"
"June 2005","876897"
"July 2005","902616"
"August 2005","906554"
"September 2005","828225"
"October 2005","842507"
"November 2005","808501"
"December 2005","808705"
"January 2006","792581"
"February 2006","722845"
"March 2006","832669"
"April 2006","802489"
"May 2006","833390"
"June 2006","831234"
"July 2006","864465"
"August 2006","880440"
"September 2006","811984"
"October 2006","837088"
"November 2006","800217"
"December 2006","811310"
"January 2007","810640"
"February 2007","732160"
"March 2007","838914"
"April 2007","817787"
"May 2007","853347"
"June 2007","845253"
"July 2007","878150"
"August 2007","887682"
"September 2007","818055"
"October 2007","849817"
"November 2007","812722"
"December 2007","810520"
"January 2008","799697"
"February 2008","753712"
"March 2008","825224"
"April 2008","806818"
"May 2008","829222"
"June 2008","828039"
"July 2008","857912"
"August 2008","837935"
"September 2008","740364"
"October 2008","767398"
"November 2008","714528"
"December 2008","725949"
"January 2009","716937"
"February 2009","667292"
"March 2009","755772"
"April 2009","737627"
"May 2009","759497"
"June 2009","773014"
"July 2009","808904"
"August 2009","798006"
"September 2009","724488"
"October 2009","738381"
"November 2009","704582"
"December 2009","712365"
"January 2010","702867"
"February 2010","631363"
"March 2010","749630"
"April 2010","731721"
"May 2010","753763"
"June 2010","765436"
"July 2010","798813"
"August 2010","799094"
"September 2010","733875"
"October 2010","749822"
"November 2010","714897"
"December 2010","711031"
"January 2011","690134"
"February 2011","634373"
"March 2011","766201"
"April 2011","730108"
"May 2011","756600"
"June 2011","772894"
"July 2011","801745"
"August 2011","787552"
"September 2011","723829"
"October 2011","737013"
"November 2011","693565"
"December 2011","709558"
"January 2012","686723"
"February 2012","656752"
"March 2012","739796"
"April 2012","717550"
"May 2012","739373"
"June 2012","750616"
"July 2012","773899"
"August 2012","772208"
"September 2012","693424"
"October 2012","707326"
"November 2012","679848"
"December 2012","678351"
"January 2013","670484"
"February 2013","616521"
"March 2013","719269"
"April 2013","702752"
"May 2013","733311"
"June 2013","734271"
"July 2013","767885"
"August 2013","765428"
"September 2013","697871"
"October 2013","719596"
"November 2013","664920"
"December 2013","669833"
"January 2014","633080"
"February 2014","585863"
"March 2014","706276"
"April 2014","686333"
"May 2014","707130"
"June 2014","718495"
"July 2014","754317"
"August 2014","743806"
"September 2014","680553"
"October 2014","706025"
"November 2014","659366"
"December 2014","675234"
"January 2015","643318"
"February 2015","579701"
"March 2015","694014"
"April 2015","680243"
"May 2015","702404"
"June 2015","711573"
"July 2015","749397"
"August 2015","741260"
"September 2015","672803"
"October 2015","698048"
"November 2015","659494"
"December 2015","666651"
"January 2016","644770"
"February 2016","621336"
"March 2016","706698"
"April 2016","684225"
"May 2016","713538"
"June 2016","725740"
"July 2016","744785"
"August 2016","747399"
"September 2016","686697"
"October 2016","699667"
"November 2016","668097"
"December 2016","670236"
"January 2017","653245"
"February 2017","600655"
"March 2017","707610"
"April 2017","683024"
"May 2017","718000"
"June 2017","731524"
"July 2017","752799"
"August 2017","748120"
"September 2017","666012"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
